epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
11,2026-06-18 11:51:09,51.81,1.0,6,5,1.0,0.999806,0.003222,0.99982,0.002115,0.999314,0.999668,0.003774,1.0,0.005841,0.536877,92.275542,0.555126,0.003294,0.015406,0.088574,0.310978,0.037664,0.185056,0.656388,0.953963,0.991489,0.91086,0.957385,5.0,6.0,0.999939,0.001534,0.999878,0.001288,0.999817,1.0,0.001847,1.0,0.00387,0.394406,93.566388,0.313307,0.001117,0.013652,0.069092,0.234873,0.02621,0.107937,0.495385,0.971172,0.996484,0.933672,0.96125,5.0,6.0
12,2026-06-18 11:52:02,52.35,1.0,6,5,1.0,0.999744,0.002922,0.999979,0.001319,0.999584,0.999861,0.003151,1.0,0.004891,0.490634,90.136963,0.53271,0.002627,0.013299,0.056931,0.197544,0.026899,0.131519,0.484425,0.970115,0.996223,0.945328,0.974504,5.0,6.0,1.0,0.00175,0.999939,0.001486,0.999756,0.999817,0.002472,1.0,0.003876,0.419481,86.346229,0.29181,0.001688,0.012307,0.05989,0.174016,0.019978,0.136634,0.435844,0.980469,0.993984,0.953203,0.974141,5.0,6.0
13,2026-06-18 11:52:54,51.91,1.0,6,5,1.0,0.999816,0.003001,0.99964,0.001902,0.999234,0.999654,0.003434,1.0,0.004654,0.446524,88.349639,0.514182,0.004436,0.01267,0.053118,0.172514,0.023911,0.103819,0.438252,0.975665,0.997518,0.953582,0.977606,5.0,6.0,0.999878,0.003107,0.99386,0.008903,0.99325,0.999512,0.003877,1.0,0.00519,0.38174,89.504413,0.577572,0.017445,0.012164,0.04185,0.18113,0.021382,0.112593,0.468127,0.975938,0.990391,0.950078,0.978594,5.0,6.0
14,2026-06-18 11:53:46,52.12,1.0,6,5,1.0,0.999871,0.002812,0.999938,0.001317,0.999663,0.999855,0.002779,1.0,0.005087,0.420927,84.823516,0.438423,0.002103,0.013467,0.040366,0.132215,0.023057,0.084504,0.367483,0.982092,0.998848,0.965878,0.983121,5.0,6.0,0.999939,0.001531,1.0,0.000624,0.999939,1.0,0.00173,1.0,0.003892,0.345738,84.001163,0.187639,0.001048,0.012646,0.031405,0.095136,0.017166,0.052572,0.283251,0.989141,0.999609,0.975469,0.985938,5.0,6.0
15,2026-06-18 11:54:38,51.92,1.0,6,5,1.0,0.999875,0.002362,0.999958,0.001279,0.999656,0.999823,0.002653,1.0,0.004244,0.404182,82.477377,0.380773,0.002057,0.013034,0.036887,0.107388,0.020924,0.064181,0.322222,0.986082,0.998892,0.972447,0.985833,5.0,6.0,0.999939,0.001947,1.0,0.000901,0.999878,0.999939,0.001536,1.0,0.002854,0.312901,75.90962,0.180229,0.00122,0.011547,0.038277,0.116365,0.016939,0.091008,0.314757,0.990938,1.0,0.973516,0.982188,5.0,6.0
16,2026-06-18 11:55:30,52.05,1.0,6,5,1.0,0.999799,0.002687,0.99982,0.0015,0.999335,0.999681,0.002937,1.0,0.0036,0.384566,79.298598,0.377365,0.003181,0.012256,0.037528,0.09531,0.019696,0.061907,0.30507,0.987145,0.999495,0.976622,0.988289,5.0,6.0,0.99978,0.001938,0.999878,0.000801,0.999658,1.0,0.001582,1.0,0.003431,0.289473,71.378066,0.17551,0.001584,0.010717,0.023418,0.076201,0.01527,0.043877,0.236141,0.992734,0.998438,0.983906,0.99,5.0,6.0
17,2026-06-18 11:56:22,52.23,1.0,6,5,1.0,0.999903,0.002348,0.999882,0.00102,0.999557,0.999765,0.002342,1.0,0.004162,0.3491,75.652055,0.338029,0.002034,0.013296,0.032888,0.086407,0.02078,0.059526,0.282433,0.990692,0.999512,0.978608,0.987739,5.0,6.0,1.0,0.001311,1.0,0.000488,1.0,1.0,0.001289,1.0,0.003478,0.264844,76.783502,0.153119,0.000644,0.012535,0.020646,0.044786,0.015097,0.026,0.195182,0.996875,1.0,0.990859,0.993984,5.0,6.0
18,2026-06-18 11:57:14,52.01,1.0,6,5,1.0,0.999834,0.00236,0.999903,0.001072,0.999273,0.999508,0.002873,1.0,0.003796,0.336391,73.210096,0.329487,0.003337,0.011945,0.025183,0.068978,0.017335,0.046027,0.25036,0.991755,0.999911,0.983821,0.991401,5.0,6.0,0.999939,0.001942,0.999902,0.000645,0.999719,0.999878,0.001331,1.0,0.004067,0.2173,69.553408,0.1423,0.001316,0.011024,0.022378,0.053691,0.015262,0.044741,0.202644,0.994531,1.0,0.986875,0.990781,5.0,6.0
19,2026-06-18 11:58:06,52.32,1.0,6,5,1.0,0.999751,0.002287,0.999896,0.00111,0.999169,0.999494,0.00235,1.0,0.003009,0.295965,69.294647,0.284712,0.003627,0.012957,0.020099,0.05532,0.016844,0.030098,0.216602,0.995168,0.999823,0.988475,0.993041,5.0,6.0,0.999817,0.00141,0.999841,0.001235,0.999658,1.0,0.001225,1.0,0.002261,0.230825,66.026329,0.109356,0.001507,0.010065,0.029165,0.05326,0.014509,0.045588,0.201191,0.992344,1.0,0.984844,0.992109,5.0,6.0
20,2026-06-18 11:58:58,52.0,1.0,6,5,1.0,0.999668,0.002625,0.99955,0.001801,0.998895,0.99965,0.002261,1.0,0.003573,0.293727,71.227744,0.313579,0.004598,0.012232,0.026635,0.064335,0.017448,0.049743,0.243911,0.993395,0.999291,0.98547,0.991809,5.0,6.0,0.995984,0.00908,0.985657,0.013858,0.98053,0.99425,0.007952,1.0,0.003292,0.253716,72.870016,1.078682,0.102498,0.011532,0.050312,0.30179,0.026294,0.278009,0.843023,0.975703,0.991406,0.933906,0.957344,5.0,6.0
