epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
11,2026-06-19 12:10:21,34.11,1.0,6,5,1.0,0.999778,0.00388,0.999924,0.001999,0.999435,0.999712,0.003723,1.0,0.017094,0.6726,27.778859,2.640878,0.00326,0.017044,0.131955,0.400136,0.038391,0.253325,1.030008,0.943759,0.99375,0.885559,0.938918,5.0,6.0,0.999939,0.002817,0.999451,0.002088,0.99884,0.99939,0.002995,1.0,0.008068,0.337173,27.654426,1.196526,0.004251,0.01536,0.080537,0.352516,0.031641,0.164838,0.84382,0.947188,0.998047,0.895078,0.945156,5.0,6.0
12,2026-06-19 12:10:55,34.2,1.0,6,5,1.0,0.999806,0.003958,0.999875,0.002156,0.999377,0.999688,0.003983,1.0,0.017683,0.617523,26.637525,2.659593,0.0035,0.016488,0.107258,0.308991,0.031468,0.188956,0.8747,0.953741,0.998537,0.909255,0.951569,5.0,6.0,0.999878,0.002797,0.997534,0.00454,0.997107,0.999048,0.00359,1.0,0.007821,0.349949,25.791964,1.208206,0.011629,0.014059,0.07523,0.246981,0.024266,0.171547,0.732215,0.963047,0.998047,0.931016,0.966797,5.0,6.0
13,2026-06-19 12:11:29,34.13,1.0,6,5,1.0,0.999564,0.004339,0.999767,0.002175,0.998853,0.999481,0.003935,1.0,0.017867,0.601064,26.216543,2.594827,0.005115,0.015454,0.093487,0.26432,0.028346,0.154277,0.79986,0.962083,0.998316,0.925346,0.960426,5.0,6.0,0.999536,0.003708,0.998291,0.005628,0.996912,0.998962,0.004201,1.0,0.00824,0.307427,24.402837,1.085777,0.011193,0.013606,0.068557,0.232216,0.024262,0.184614,0.699079,0.965781,1.0,0.938906,0.967656,5.0,6.0
14,2026-06-19 12:12:03,34.14,1.0,6,5,1.0,0.99955,0.00444,0.999723,0.002507,0.998712,0.999425,0.00397,1.0,0.017478,0.594937,25.281899,2.476547,0.005588,0.015488,0.082994,0.239512,0.027388,0.159946,0.760683,0.9693,0.999113,0.936578,0.964752,5.0,6.0,0.999756,0.002971,0.99939,0.002345,0.998535,0.999207,0.003325,1.0,0.007273,0.306523,23.313324,0.939685,0.005257,0.013214,0.039589,0.161292,0.021328,0.090003,0.538635,0.976328,0.998438,0.961094,0.983594,5.0,6.0
15,2026-06-19 12:12:37,34.2,1.0,6,5,1.0,0.999072,0.005832,0.999439,0.003223,0.997509,0.998888,0.005423,1.0,0.018152,0.575601,24.667797,2.42362,0.01032,0.01559,0.073371,0.208418,0.02506,0.139154,0.713802,0.974734,0.998138,0.949087,0.972934,5.0,6.0,0.999512,0.002913,0.999634,0.003104,0.997925,0.998718,0.003484,1.0,0.009517,0.282082,24.804281,0.826174,0.007286,0.012626,0.061739,0.205012,0.022878,0.143112,0.635391,0.982813,1.0,0.949922,0.964766,5.0,6.0
16,2026-06-19 12:13:11,34.11,1.0,6,5,1.0,0.999023,0.005576,0.999397,0.003039,0.997375,0.998906,0.005129,1.0,0.017925,0.577806,23.97125,2.297169,0.01019,0.015056,0.080889,0.190297,0.024357,0.129149,0.684217,0.97617,0.998582,0.951977,0.974317,5.0,6.0,0.999597,0.004088,0.998242,0.003768,0.995447,0.997607,0.005356,1.0,0.008591,0.277359,23.875771,0.743819,0.014204,0.011595,0.035475,0.122444,0.016517,0.083076,0.508131,0.991797,1.0,0.975938,0.983359,5.0,6.0
17,2026-06-19 12:13:46,34.26,1.0,6,5,1.0,0.999432,0.004547,0.999418,0.003076,0.998187,0.99926,0.004204,1.0,0.018399,0.566169,22.476874,2.016298,0.007048,0.015336,0.064631,0.158632,0.022426,0.108123,0.605218,0.981649,0.999202,0.961605,0.978404,5.0,6.0,1.0,0.002044,0.99978,0.001771,0.995251,0.99541,0.006943,1.0,0.008063,0.266444,21.006788,0.838096,0.030849,0.012962,0.030323,0.103221,0.017921,0.066959,0.484894,0.988281,1.0,0.971406,0.982734,5.0,6.0
18,2026-06-19 12:14:20,34.18,1.0,6,5,1.0,0.999204,0.003885,0.999647,0.00214,0.998361,0.999386,0.003559,1.0,0.016644,0.576071,20.500175,1.938792,0.008005,0.013859,0.059731,0.141451,0.020857,0.087186,0.554655,0.983998,0.998936,0.96914,0.98359,5.0,6.0,0.999817,0.002381,0.999536,0.001689,0.999048,0.999695,0.002176,1.0,0.006796,0.240496,20.163077,0.521591,0.002981,0.011393,0.027858,0.066873,0.014687,0.054419,0.365164,0.994922,1.0,0.985313,0.99,5.0,6.0
19,2026-06-19 12:14:54,34.15,1.0,6,5,1.0,0.99973,0.003114,0.999661,0.001812,0.998857,0.999432,0.003081,1.0,0.016619,0.555324,19.793091,1.794921,0.004852,0.012617,0.052428,0.124611,0.018032,0.0844,0.5124,0.985966,0.999645,0.970718,0.98391,5.0,6.0,0.999231,0.003009,0.999878,0.00078,0.998767,0.999658,0.001788,1.0,0.005358,0.263252,20.268628,0.476527,0.004104,0.010776,0.065093,0.077925,0.013271,0.072253,0.40698,0.995078,1.0,0.984453,0.988594,5.0,6.0
20,2026-06-19 12:15:28,34.22,1.0,6,5,1.0,0.999278,0.00348,0.999661,0.001857,0.998378,0.999321,0.002943,1.0,0.016339,0.535404,18.646788,1.688548,0.006404,0.012751,0.048757,0.100333,0.017352,0.068396,0.46545,0.989672,0.999069,0.978963,0.988582,5.0,6.0,0.963501,0.02719,0.966858,0.025897,0.924414,0.974951,0.021529,1.0,0.010599,0.243342,16.193691,6.55784,0.547196,0.01823,0.073606,0.641853,0.023627,0.52106,2.375114,0.955313,0.975781,0.940234,0.979063,5.0,6.0
