epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
1,2026-06-21 19:09:02,90.83,0.2,4,3,0.5,0.546567,1.475023,0.551981,1.096585,0.224407,0.609802,1.291545,0.2,0.938711,0.445097,10.832825,10.08877,3.423709,0.201826,0.984455,4.311304,0.240295,0.437175,9.885353,0.495449,0.376093,0.089037,0.569444,3.0,4.0,0.788428,0.86237,0.932214,0.498619,0.592188,0.814148,0.76245,0.2,1.066425,0.14428,25.095258,22.487781,1.482503,0.0,1.16219,3.344374,0.180153,0.903122,5.665842,0.65013,0.504036,0.127995,0.666276,3.0,4.0
2,2026-06-21 19:09:31,28.98,0.4,4,3,0.5,0.907443,0.559138,0.981332,0.206353,0.831142,0.922243,0.497307,0.4,0.763672,0.53782,26.65435,33.077272,0.724748,0.0945,0.929159,2.90047,0.194722,1.068247,4.122241,0.62862,0.653044,0.205245,0.691253,3.0,4.0,0.970251,0.297346,0.995618,0.068943,0.948303,0.973767,0.253042,0.4,0.419226,0.470686,37.044436,35.187451,0.293271,0.0,0.655585,2.15556,0.158381,0.83529,2.655615,0.685286,0.833984,0.372526,0.719792,3.0,4.0
3,2026-06-21 19:10:00,29.54,0.6,4,3,0.5,0.98391,0.175889,0.997242,0.039952,0.968973,0.981106,0.163482,0.6,0.167351,0.710009,37.976559,27.307282,0.172283,0.073079,0.433777,1.638584,0.162062,0.637159,2.1499,0.733555,0.94474,0.51711,0.766194,3.0,4.0,0.983093,0.100686,0.994043,0.029793,0.970276,0.983557,0.105282,0.6,0.05696,0.501106,39.720194,19.111209,0.129596,0.0,0.306905,1.1696,0.115792,0.376908,1.553692,0.81862,0.982943,0.628646,0.800911,3.0,4.0
4,2026-06-21 19:10:33,32.12,0.8,4,3,0.5,0.989266,0.084608,0.998178,0.019985,0.980049,0.986961,0.088514,0.8,0.06176,0.629277,33.633006,17.64841,0.096106,0.065535,0.269278,1.035005,0.123363,0.373988,1.535571,0.813416,0.983673,0.654846,0.830718,3.0,4.0,0.990601,0.063171,0.998047,0.014538,0.984973,0.989819,0.065357,0.8,0.044901,0.415039,32.9555,13.103357,0.074074,0.0,0.204895,0.727019,0.074579,0.237669,1.148463,0.86849,0.991536,0.743359,0.870313,3.0,4.0
5,2026-06-21 19:11:05,32.0,1.0,4,3,0.5,0.991367,0.056901,0.998871,0.014204,0.985072,0.990085,0.060107,1.0,0.049451,0.577644,29.190494,13.263211,0.069608,0.061487,0.208021,0.760858,0.104728,0.287062,1.301229,0.857491,0.993351,0.739953,0.870346,3.0,4.0,0.991113,0.044863,0.999939,0.0099,0.987109,0.992383,0.051318,1.0,0.036213,0.404122,28.133056,9.846968,0.055348,0.0,0.152903,0.632392,0.062513,0.316095,1.06911,0.869661,0.996745,0.777604,0.898828,3.0,4.0
6,2026-06-21 19:11:36,31.51,1.0,4,3,0.5,0.99201,0.045208,0.999023,0.01166,0.9866,0.991114,0.048912,1.0,0.039353,0.55888,27.570253,10.556875,0.059022,0.059316,0.181056,0.635182,0.09494,0.265127,1.127164,0.884929,0.993942,0.781117,0.889022,3.0,4.0,0.991895,0.037927,0.999634,0.008003,0.988757,0.992395,0.039884,1.0,0.025448,0.305524,26.73981,7.858164,0.049042,0.0,0.112472,0.459197,0.04923,0.177348,0.859917,0.932422,0.997396,0.846745,0.908594,3.0,4.0
7,2026-06-21 19:12:08,31.37,1.0,4,3,0.5,0.992465,0.038111,0.999113,0.010094,0.987539,0.991653,0.040744,1.0,0.032935,0.521065,25.961081,8.533002,0.053866,0.057917,0.150895,0.506731,0.086457,0.215919,0.969578,0.9138,0.994976,0.84115,0.920183,3.0,4.0,0.926697,0.096979,0.912073,0.064876,0.837,0.933362,0.09598,1.0,0.027459,0.398491,24.633957,15.510537,1.088708,0.0,0.121791,1.432984,0.062675,0.576897,3.668961,0.867578,0.890755,0.728385,0.86849,3.0,4.0
8,2026-06-21 19:12:39,31.47,1.0,4,3,0.5,0.992863,0.032656,0.999271,0.008752,0.988295,0.992279,0.035391,1.0,0.028848,0.512699,24.517284,6.922494,0.047355,0.056788,0.144615,0.389712,0.07826,0.177415,0.835946,0.943292,0.998153,0.883082,0.935653,3.0,4.0,0.992285,0.028718,0.999023,0.006745,0.989478,0.993164,0.03144,1.0,0.019096,0.271452,23.85257,5.002182,0.044542,0.0,0.095614,0.279114,0.035719,0.143635,0.655254,0.963802,0.998698,0.91888,0.953776,3.0,4.0
9,2026-06-21 19:13:11,31.4,1.0,4,3,0.5,0.993062,0.028943,0.999384,0.007593,0.988917,0.992711,0.030856,1.0,0.025001,0.489757,22.760611,5.698123,0.043843,0.056237,0.11966,0.311894,0.072905,0.146364,0.730041,0.954418,0.998892,0.909309,0.951005,3.0,4.0,0.990332,0.027058,0.999146,0.006549,0.987244,0.992725,0.026721,1.0,0.015664,0.279647,22.008281,4.078611,0.062441,0.0,0.101393,0.19188,0.029682,0.089385,0.596274,0.983073,1.0,0.957552,0.972526,3.0,4.0
10,2026-06-21 19:13:42,31.34,1.0,4,3,0.5,0.993233,0.02677,0.999148,0.006937,0.988907,0.99275,0.028605,1.0,0.023307,0.498456,21.539023,4.748054,0.04308,0.05587,0.099489,0.260613,0.070679,0.133867,0.662677,0.968189,0.997488,0.931649,0.961318,3.0,4.0,0.992322,0.023934,0.999878,0.004591,0.989868,0.993481,0.023382,1.0,0.013981,0.237474,21.307332,3.127101,0.037682,0.0,0.058703,0.148819,0.030544,0.070735,0.481453,0.988281,1.0,0.964193,0.975911,3.0,4.0
