epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_logvar_coupling,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_logvar_coupling,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
1,2026-06-22 13:42:16,92.08,0.2,4,3,0.5,0.497626,1.583409,0.484322,1.193048,0.1564,0.526337,1.46107,0.2,0.858038,0.76439,5.953497,7.922409,-0.629451,3.863065,0.27899,0.902168,4.57273,0.3108,0.354977,10.851731,0.447858,0.359397,0.069917,0.499261,3.0,4.0,0.600366,1.138702,0.640637,0.750913,0.238574,0.617615,0.989425,0.2,1.113251,0.115152,16.993393,15.783992,0.0,3.062194,0.0,1.193258,3.838158,0.197676,0.554657,8.96672,0.544531,0.462109,0.106641,0.608464,3.0,4.0
2,2026-06-22 13:42:45,29.19,0.4,4,3,0.5,0.870121,0.681954,0.935672,0.361981,0.734469,0.876935,0.638951,0.4,0.872157,0.556628,21.395607,29.407991,-0.609614,1.075174,0.198319,1.008605,3.143427,0.271665,0.984939,4.967367,0.635358,0.557432,0.151891,0.683171,3.0,4.0,0.906628,0.463527,0.978918,0.148291,0.850293,0.932507,0.412985,0.4,0.667014,0.369233,30.571766,34.270422,0.0,0.629716,0.0,0.86352,2.55528,0.187304,0.866401,3.631395,0.677474,0.777474,0.285156,0.653255,3.0,4.0
3,2026-06-22 13:43:15,29.24,0.6,4,3,0.5,0.974536,0.245248,0.994233,0.075143,0.945135,0.96528,0.259263,0.6,0.348572,0.674991,34.026004,32.527645,-0.825485,0.285762,0.179549,0.611615,2.036072,0.266481,0.791381,2.788238,0.723404,0.838076,0.403487,0.684678,3.0,4.0,0.931165,0.248721,0.971448,0.099132,0.875427,0.917444,0.278282,0.6,0.191098,0.441848,33.112356,27.322578,0.0,0.625717,0.0,0.531037,1.807177,0.161388,0.525415,3.065448,0.766797,0.870443,0.476693,0.705339,3.0,4.0
4,2026-06-22 13:43:44,29.26,0.8,4,3,0.5,0.986593,0.103315,0.996447,0.036206,0.972584,0.981358,0.131939,0.8,0.151504,0.661532,32.779698,23.688092,-0.86395,0.135054,0.175358,0.408923,1.339524,0.232891,0.483817,1.985533,0.820656,0.913992,0.57172,0.754684,3.0,4.0,0.982727,0.094218,0.994397,0.027605,0.970654,0.980103,0.119509,0.8,0.13848,0.461507,30.695346,19.94823,0.0,0.145093,0.0,0.299337,1.04403,0.107519,0.431765,1.651209,0.877604,0.942839,0.676042,0.798438,3.0,4.0
5,2026-06-22 13:44:14,29.43,1.0,4,3,0.5,0.989425,0.06899,0.997753,0.023858,0.981312,0.988061,0.083232,1.0,0.125411,0.632931,28.656111,18.697843,-0.893772,0.09055,0.172463,0.32529,1.037208,0.213804,0.391034,1.703566,0.864657,0.927172,0.650236,0.796794,3.0,4.0,0.985535,0.065276,0.99364,0.023888,0.975964,0.982983,0.078374,1.0,0.115002,0.386793,27.343295,15.840837,0.0,0.113246,0.0,0.272075,0.885548,0.086383,0.447905,1.514946,0.896615,0.92526,0.69375,0.810938,3.0,4.0
6,2026-06-22 13:44:43,29.46,1.0,4,3,0.5,0.991478,0.052241,0.997937,0.019542,0.984924,0.989995,0.062152,1.0,0.114153,0.611211,26.536232,15.528893,-0.910171,0.070986,0.171067,0.29476,0.87857,0.203789,0.37569,1.480588,0.89805,0.919829,0.697621,0.821528,3.0,4.0,0.988452,0.053968,0.996753,0.016414,0.977832,0.983459,0.063159,1.0,0.099979,0.360837,25.92302,13.515473,0.0,0.095172,0.0,0.22659,0.696492,0.067168,0.26264,1.255265,0.932031,0.930859,0.763281,0.853646,3.0,4.0
7,2026-06-22 13:45:13,29.37,1.0,4,3,0.5,0.99187,0.044031,0.998472,0.01516,0.986264,0.991252,0.049665,1.0,0.069042,0.587161,25.554564,11.224882,-0.920165,0.061023,0.169914,0.229001,0.646129,0.197163,0.289312,1.193041,0.916667,0.967272,0.790854,0.881797,3.0,4.0,0.985181,0.051842,0.99541,0.016914,0.976453,0.982056,0.058005,1.0,0.035188,0.370805,24.788609,7.860085,0.0,0.106179,0.0,0.131444,0.420249,0.061594,0.173061,0.948192,0.942318,0.996094,0.863932,0.919661,3.0,4.0
8,2026-06-22 13:45:42,29.62,1.0,4,3,0.5,0.99228,0.038103,0.998708,0.01115,0.987625,0.991963,0.040345,1.0,0.033832,0.582404,24.464496,7.400427,-0.926823,0.054086,0.168903,0.159629,0.42079,0.188037,0.198103,0.925042,0.945213,0.997296,0.874867,0.92534,3.0,4.0,0.950757,0.103959,0.929175,0.065272,0.882935,0.947229,0.101353,1.0,0.031035,0.44688,21.963087,13.049834,0.0,0.725364,0.0,0.171404,1.210574,0.065641,0.714569,2.8062,0.913281,0.916797,0.827083,0.908073,3.0,4.0
9,2026-06-22 13:46:12,29.61,1.0,4,3,0.5,0.992147,0.035159,0.99823,0.010726,0.987091,0.991577,0.036412,1.0,0.030374,0.552837,23.130457,6.174486,-0.929667,0.054395,0.168538,0.136439,0.331763,0.18254,0.160236,0.823809,0.956649,0.998966,0.906915,0.94734,3.0,4.0,0.986658,0.037013,0.995801,0.014184,0.981213,0.99032,0.040078,1.0,0.024982,0.28114,21.621437,5.295511,0.0,0.080567,0.0,0.084074,0.246691,0.037196,0.133676,0.691893,0.982031,0.998047,0.946484,0.965104,3.0,4.0
10,2026-06-22 13:46:42,29.54,1.0,4,3,0.5,0.992066,0.033235,0.998213,0.011332,0.986666,0.991053,0.03582,1.0,0.027224,0.53849,21.88111,5.40732,-0.9312,0.054915,0.167799,0.115343,0.292725,0.179562,0.157059,0.768573,0.966268,0.996749,0.920301,0.951079,3.0,4.0,0.989331,0.03303,0.998169,0.011708,0.984497,0.99126,0.034093,1.0,0.019252,0.275733,20.300095,4.109729,0.0,0.063296,0.0,0.078357,0.182592,0.03658,0.091491,0.574253,0.985938,0.999349,0.961198,0.973958,3.0,4.0
