trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,0,80,0,1,5,S,7,5,10,0.0,0.4125,1.3526210533455014,0.18951456993818283,2.8382481112203095,0.0,0.0
1,0,80,5,8,1,S,1,4,10,0.0,1.0,0.7391442075371742,0.20849324241280556,2.709433862764854,0.0,0.0
2,0,80,0,5,3,S,8,7,13,0.0,1.0,0.8430543094873428,0.15982039384543895,2.599750112858601,0.0,0.0
3,0,80,0,7,5,W,7,1,16,0.0,1.0,1.208990789949894,0.1946754351258278,2.5447380387049634,0.0,0.0
4,0,80,0,5,3,W,1,6,7,0.0,0.525,0.22003971319645643,0.16244677118957043,2.757429533812683,0.0,0.0
5,1,13,0,4,8,E,5,2,9,0.6923076923076923,0.23076923076923078,0.35107130815203375,0.16135113972883958,2.794655778696044,0.0,0.0
6,0,80,0,2,1,W,8,4,9,0.0,0.9125,0.3745570980012417,0.16162937730550767,2.7231280713749584,0.0,0.0
7,0,80,0,6,1,W,4,3,4,0.0,0.0125,0.6374964360147715,0.19416255485266448,2.9936733350041322,0.0,0.0
8,0,80,0,5,5,E,4,7,3,0.0,0.05,0.4790023715700954,0.16659232769161464,2.6380597992101684,0.0,0.0
9,0,80,0,3,1,S,1,5,6,0.0,1.0,0.34386786855757234,0.22093526385724543,2.4743032779952046,0.0,0.0
10,0,80,6,8,2,W,1,3,10,0.0,0.975,0.9355798173695803,0.20467343050986528,2.4895679009205196,0.0,0.0
11,1,11,0,7,8,S,3,4,8,0.7272727272727273,0.2727272727272727,0.47361308336257935,0.15975510396740653,2.200707004786554,0.0,0.0
12,0,80,0,1,8,S,7,5,13,0.0,0.0375,0.19283545389771461,0.19588236771523954,2.426176526932977,0.0,0.0
13,0,80,0,3,7,W,1,4,5,0.0,0.35,0.6038944087922573,0.16869130823761225,2.5132239228696562,0.0,0.0
14,1,34,0,4,8,S,8,3,15,0.4411764705882353,0.4117647058823529,0.5418051162953762,0.18582728285999858,2.491221359163961,0.0,0.0
15,0,80,7,2,1,E,3,8,10,0.0,1.0,0.4699089337140322,0.22298085372895002,2.445113934663823,0.0,0.0
16,0,80,0,5,2,S,1,2,6,0.0,0.3125,0.8424137811176479,0.18816582653671504,2.478695401805453,0.0,0.0
17,0,80,0,1,7,S,7,2,13,0.0,0.025,0.41998192365281284,0.16580780707299708,2.438017222448252,0.0,0.0
18,0,80,0,8,4,E,7,2,3,0.0,0.2125,0.5260489977896213,0.17342320866882802,2.4804544875223655,0.0,0.0
19,0,80,0,8,7,E,4,3,12,0.0,0.0625,0.9172217655926943,0.1498768089339137,2.5957036843465175,0.0,0.0
20,0,80,0,8,3,N,3,8,14,0.0,0.025,0.18024782063439487,0.2069578219205141,2.391475876356708,0.0,0.0
21,0,80,0,5,1,N,7,6,15,0.0,0.0125,0.9785514132119715,0.20444151479750872,2.393116300663678,0.0,0.0
22,0,80,0,4,8,S,1,6,7,0.0,0.2625,0.6376707622781396,0.17115687914192676,2.4926652906287927,0.0,0.0
23,0,80,0,5,1,N,3,6,7,0.0,0.0125,0.9782365225255489,0.20445024650543928,2.430451681721024,0.0,0.0
24,0,80,0,8,6,N,4,7,7,0.0,0.0625,0.4950523748062551,0.16668257471174003,2.4240751670731697,0.0,0.0
25,0,80,0,7,8,S,6,1,14,0.0,0.0375,0.8415332142263651,0.1491734579205513,2.533826174476417,0.0,0.0
26,0,80,0,1,5,W,3,6,3,0.0,0.1,0.42303074346855285,0.1568651169538498,2.389144161134027,0.0,0.0
