trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,0,80,0,1,5,S,7,5,10,0.0,0.0125,0.2507535963319242,0.1410669844597578,1.7828102914791089,0.0,0.0
1,0,80,0,8,1,S,1,4,10,0.0,0.0125,0.22467266977764666,0.1371351283043623,1.7999162104388233,0.0,0.0
2,0,80,0,5,3,S,8,7,13,0.0,0.0,0.15736526140244678,0.13715065587311984,1.76159864931833,0.0,0.0
3,0,80,1,7,5,W,7,1,16,0.0,0.0,0.08452762332744897,0.13777452241629362,1.745459224912338,0.0,0.0
4,0,80,0,5,3,W,1,6,7,0.0,0.0,0.25032169204205273,0.13795695323497056,1.7510282144939993,0.0,0.0
5,0,80,0,4,8,E,5,2,9,0.0,0.0125,0.154555505188182,0.13822215255349873,1.785240888420958,0.0,0.0
6,1,14,3,2,1,W,8,4,9,0.6428571428571429,0.0,0.0539361132707979,0.1375491065638406,1.7710382900466877,0.0,0.0
7,0,80,0,6,1,W,4,3,4,0.0,0.0,0.3717004536651075,0.14057869892567396,1.7616737255593762,0.0,0.0
8,0,80,0,5,5,E,4,7,3,0.0,0.0,0.11345851924270392,0.1387674869969487,1.7489765756181441,0.0,0.0
9,0,80,0,3,1,S,1,5,6,0.0,0.0125,0.36551906014792623,0.13776646573096513,1.7718819377478212,0.0,0.0
10,0,80,0,8,2,W,1,3,10,0.0,0.0,0.2185949566308409,0.13706170599907636,1.7855637721368112,0.0,0.0
11,1,11,0,7,8,S,3,4,8,0.7272727272727273,0.0,0.09516755872490731,0.1368657580830834,1.7094841777262362,0.0,0.0
12,0,80,80,1,8,S,7,5,13,0.0,0.0,0.0968487923964858,0.1421185689046979,1.7310414230450988,0.0,0.0
13,0,80,0,3,7,W,1,4,5,0.0,0.0,0.040332866890821606,0.13750660922378302,1.7857611157523934,0.0,0.0
14,0,80,0,4,8,S,8,3,15,0.0,0.0,0.14131907215341927,0.1381939174607396,1.7495047890406568,0.0,0.0
15,0,80,0,2,1,E,3,8,10,0.0,0.0125,0.359698982629925,0.13777890354394912,1.7429694518796168,0.0,0.0
16,0,80,17,5,2,S,1,2,6,0.0,0.2625,0.4453622459201142,0.139316220395267,1.7490464750153478,0.0,0.0
17,0,80,0,1,7,S,7,2,13,0.0,0.0125,0.3192650221288204,0.13953130934387445,1.7449773346015718,0.0,0.0
18,0,80,6,8,4,E,7,2,3,0.0,0.0125,0.04906788584776223,0.13935351725667716,1.7449737890274264,0.0,0.0
19,0,80,0,8,7,E,4,3,12,0.0,0.0,0.05787357448134571,0.14029907900840044,1.7459664421039633,0.0,0.0
20,0,80,0,8,3,N,3,8,14,0.0,0.0125,0.0883921391912736,0.14068148843944073,1.7401661541953217,0.0,0.0
21,0,80,0,5,1,N,7,6,15,0.0,0.0125,0.12661501858383417,0.13577075786888598,1.7944798215467017,0.0,0.0
22,0,80,0,4,8,S,1,6,7,0.0,0.0,0.1546682860585861,0.13729600384831428,1.79804797298857,0.0,0.0
23,0,80,0,5,1,N,3,6,7,0.0,0.0125,0.12673984356224538,0.135765964910388,1.7637165743508376,0.0,0.0
24,0,80,1,8,6,N,4,7,7,0.0,0.0,0.12502445066347717,0.14007169976830483,1.7437875132600311,0.0,0.0
25,0,80,0,7,8,S,6,1,14,0.0,0.0,0.14144544495502487,0.13803542945533992,1.763763766939519,0.0,0.0
26,0,80,0,1,5,W,3,6,3,0.0,0.0,0.14655907517299055,0.1400130668655038,1.7681410223303828,0.0,0.0
27,0,80,2,7,8,W,4,7,4,0.0,0.0125,0.12838395023718477,0.13990901708602904,1.7287889793806244,0.0,0.0
28,0,80,0,7,8,W,4,1,14,0.0,0.0125,0.13794418477918952,0.1380219066515565,1.7589586874237284,0.0,0.0
29,0,80,0,3,4,S,3,1,7,0.0,0.0125,0.1720317354425788,0.14025273118168116,1.7644000981817953,0.0,0.0
30,0,80,0,6,1,W,1,7,11,0.0,0.0,0.3588438980979845,0.13782674875110387,1.7545551367220469,0.0,0.0
31,0,80,0,2,1,N,7,7,15,0.0,0.0125,0.36807750053703786,0.1377926765009761,1.768489245296223,0.0,0.0
32,0,80,5,7,6,E,6,3,14,0.0,0.0,0.05658231268171221,0.13953107483685018,1.7792667509638704,0.0,0.0
33,1,11,0,6,8,W,3,4,7,0.6363636363636364,0.09090909090909091,0.12396017038686709,0.1373652991923419,1.7445572673089125,0.0,0.0
34,0,80,0,5,6,S,4,8,3,0.0,0.0125,0.12031928393989802,0.13835707157850266,1.7626741966523696,0.0,0.0
35,0,80,0,5,6,N,1,2,10,0.0,0.0,0.09067427972331643,0.13770697638392448,1.755060606956249,0.0,0.0
36,0,80,0,3,3,E,1,6,5,0.0,0.0125,0.11514684557914734,0.13986411783844233,1.7540234883199446,0.0,0.0
37,0,80,0,6,5,E,6,3,12,0.0,0.0125,0.09767214353196323,0.13787032309919595,1.7428000013751443,0.0,0.0
38,0,80,0,8,1,N,5,6,14,0.0,0.0,0.09489273997605778,0.13581118881702423,1.7526484749396332,0.0,0.0
39,0,80,0,7,5,S,5,6,3,0.0,0.0,0.07760554724372923,0.13925234265625477,1.7648637112870347,0.0,0.0
40,0,80,0,1,5,W,5,6,7,0.0,0.0,0.2559696525335312,0.14103003907948733,1.7631866612646263,0.0,0.0
41,0,80,0,3,5,N,5,8,5,0.0,0.0,0.2506786364130676,0.14113275483250617,1.748944286373444,0.0,0.0
42,1,18,0,8,8,E,2,5,9,0.5,0.0,0.08103586272853944,0.13720587144295374,1.7003346648481157,0.0,0.0
43,0,80,0,4,3,W,8,8,11,0.0,0.025,0.15843402012251318,0.1369778484106064,1.7592859556316398,0.0,0.0
44,1,4,0,1,2,W,3,1,3,0.75,0.0,0.12244857475161552,0.1381930261850357,1.7162080039270222,0.0,0.0
45,0,80,0,1,3,E,8,1,9,0.0,0.0,0.2077747722156346,0.13819495867937803,1.736412156606093,0.0,0.0
46,0,80,0,8,4,E,3,5,12,0.0,0.0125,0.05780895184725523,0.13988713584840298,1.7525227507576346,0.0,0.0
47,0,80,0,6,3,S,1,6,8,0.0,0.0,0.24441434972686693,0.13833822328597306,1.7888732625578996,0.0,0.0
48,0,80,0,5,2,W,7,6,14,0.0,0.0,0.09020660840906203,0.1361268462613225,1.76691447122721,0.0,0.0
49,0,80,0,7,7,N,3,6,7,0.0,0.025,0.12439127587713301,0.14075896088033915,1.7564120375027414,0.0,0.0
50,0,80,0,3,7,N,1,2,7,0.0,0.0,0.04330036652972922,0.13757877200841903,1.7749566213751677,0.0,0.0
51,0,80,0,1,5,S,7,5,10,0.0,0.0125,0.25094809727743267,0.14107789061963558,1.7461627860029694,0.0,0.0
52,0,80,0,7,1,W,1,8,13,0.0,0.0125,0.3381827516655903,0.13774423580616713,1.7672907008090988,0.0,0.0
53,0,80,0,5,2,N,8,6,15,0.0,0.025,0.09920439599081873,0.13623907323926687,1.75496978481533,0.0,0.0
54,0,80,0,5,2,E,6,8,11,0.0,0.0,0.08923746095970272,0.1360928051173687,1.7616029712371528,0.0,0.0
55,0,80,0,4,8,E,1,8,9,0.0,0.025,0.16732785607455297,0.1374151347205043,1.7423129022063222,0.0,0.0
56,0,80,0,3,1,S,3,5,8,0.0,0.0125,0.36533921854570506,0.13803334943950177,1.7649728251853958,0.0,0.0
57,0,80,0,6,1,E,5,8,12,0.0,1.0,0.5230416028760374,0.1405182655900717,1.7448550381232053,0.0,0.0
58,0,80,0,8,7,E,1,4,12,0.0,0.0,0.12323771854862571,0.1407685937359929,1.7422124015865847,0.0,0.0
59,0,80,0,1,6,W,3,7,5,0.0,0.0625,0.17372220363467933,0.1402596052736044,1.745084636786487,0.0,0.0
60,0,80,0,3,8,E,8,3,14,0.0,0.0125,0.15859786681830884,0.13818149510771036,1.766693589888746,0.0,0.0
61,0,80,0,3,3,W,7,5,10,0.0,0.0,0.1610849077696912,0.1370067998766899,1.7321369217825122,0.0,0.0
62,0,80,0,3,3,E,7,6,11,0.0,0.0125,0.16040171568165534,0.1370090588927269,1.7329191119642928,0.0,0.0
63,0,80,0,7,1,E,7,6,17,0.0,0.0,0.12304158173501492,0.13632336705923082,1.7477901856182143,0.0,0.0
64,0,80,80,7,2,N,3,4,8,0.0,0.9125,1.1294228713959455,0.1433779463171959,1.7538008163683116,0.0,0.0
65,0,80,0,1,5,W,4,8,6,0.0,0.0,0.09091381966136396,0.13872381299734116,1.7721550255373586,0.0,0.0
66,0,80,0,1,6,S,4,8,7,0.0,0.0125,0.12219350878149271,0.14030851870775224,1.75738277102937,0.0,0.0
67,0,80,0,2,5,E,7,1,9,0.0,0.0125,0.36529981293715535,0.14005445335060357,1.7745933975675143,0.0,0.0
68,0,80,0,7,7,S,5,7,4,0.0,0.0,0.11878712914185599,0.14072097782045603,1.7814736216678284,0.0,0.0
69,0,80,31,1,8,W,4,8,9,0.0,0.0,0.16667281561531128,0.1387202912941575,1.8537688622018322,0.0,0.0
70,0,80,0,1,1,E,7,5,14,0.0,0.0,0.09209339171648026,0.13759357929229737,1.7858657469332684,0.0,0.0
71,0,80,70,7,1,E,6,3,5,0.0,0.2,0.8010020065121353,0.14299059771001338,1.7820611734350678,0.0,0.0
72,0,80,0,3,5,N,6,1,7,0.0,0.0,0.3880544025450945,0.14018392488360404,1.819604285992682,0.0,0.0
73,0,80,0,5,7,S,1,5,6,0.0,0.025,0.04155817939899862,0.1375860758125782,1.7788178243790753,0.0,0.0
74,0,80,0,6,1,W,1,4,8,0.0,0.0,0.23192391514312477,0.13708852119743825,1.7969233231269754,0.0,0.0
75,0,80,0,4,3,N,7,6,12,0.0,0.0,0.15548393940553068,0.13705757390707732,1.8089675104420166,0.0,0.0
76,1,45,0,2,1,N,5,2,4,0.08888888888888889,0.022222222222222223,0.28078000276452963,0.13982704182465872,1.7479268251918256,0.0,0.0
77,0,80,1,3,6,N,6,3,6,0.0,0.0,0.09862832629587501,0.13979978170245885,1.7902543972013518,0.0,0.0
78,0,80,0,6,5,N,1,5,9,0.0,0.0,0.0993106316542253,0.13793726582080126,1.7561213237058837,0.0,0.0
79,0,80,0,5,7,N,7,6,5,0.0,0.025,0.18115386199206113,0.13757540322840214,1.779731098213233,0.0,0.0
80,0,80,0,3,5,W,8,4,12,0.0,0.0,0.4033662187401205,0.14034311212599276,1.7422149983758572,0.0,0.0
81,1,13,0,3,7,S,5,8,3,0.23076923076923078,0.0,0.10925549526627247,0.1371861810867603,1.7741117715978851,0.0,0.0
82,1,10,0,3,5,N,1,2,5,0.5,0.0,0.07420158442109823,0.13842348605394364,1.723247702466324,0.0,0.0
83,0,80,0,8,7,E,4,3,12,0.0,0.0,0.05775906553026289,0.1402957858517766,1.737487675563898,0.0,0.0
84,0,80,0,5,1,N,7,6,15,0.0,0.0125,0.12660480793565512,0.1357658624649048,1.7413071349437814,0.0,0.0
85,0,80,0,1,4,E,3,4,4,0.0,0.025,0.14464154108427466,0.13982185572385789,1.7721087584504858,0.0,0.0
86,0,80,0,6,5,E,5,2,12,0.0,0.0125,0.09770964987110346,0.13787670154124498,1.7365230232826434,0.0,0.0
87,0,80,0,8,6,S,1,8,15,0.0,0.0,0.11774859942961484,0.14097029902040958,1.719897238217527,0.0,0.0
88,0,80,0,5,5,W,5,1,12,0.0,0.0,0.08636408983729779,0.13765792287886142,1.7619521655433346,0.0,0.0
89,0,80,0,3,4,E,8,6,11,0.0,0.0,0.24299702113494276,0.14107766449451448,1.7610677881748416,0.0,0.0
90,0,80,0,5,5,W,5,3,10,0.0,0.0,0.0862028182251379,0.13765865471214056,1.785279988689581,0.0,0.0
91,1,7,0,4,7,N,3,4,4,0.5714285714285714,0.0,0.04412654361554554,0.13682861626148224,1.7287492851859756,0.0,0.0
92,1,7,1,3,8,N,7,8,4,0.5714285714285714,0.14285714285714285,0.096497578812497,0.13887119506086623,1.9219702808186412,0.0,0.0
93,0,80,0,8,3,N,5,5,17,0.0,0.0125,0.08671749484492466,0.1406248152256012,1.7795686508179642,0.0,0.0
94,0,80,0,3,5,E,5,5,6,0.0,0.0,0.2439688290003687,0.14116034284234047,1.7451553598220926,0.0,0.0
95,0,80,0,1,5,S,6,3,7,0.0,0.0125,0.3681452123448253,0.14002384655177594,1.7635078227613121,0.0,0.0
96,0,80,0,1,6,N,3,4,4,0.0,0.0125,0.1567151934374124,0.1398883957415819,1.7437453228922095,0.0,0.0
97,0,80,0,6,3,S,7,1,5,0.0,0.0,0.08674503332003951,0.14291717875748872,1.7733265609422233,0.0,0.0
98,0,80,1,3,6,S,1,5,3,0.0,0.0125,0.1287046364042908,0.13958082292228938,1.7517387233965565,0.0,0.0
99,0,80,0,8,4,N,8,7,21,0.0,0.0,0.05192149332724512,0.14251299034804105,1.7478495035902597,0.0,0.0
