trial,success,steps,collisions,start_row,start_col,start_heading,goal_row,goal_col,shortest_dist,path_efficiency,belief_error_rate,mean_entropy,mean_context_std,mean_ms_per_step,noise_sigma,mask_fraction
0,0,80,0,1,5,S,7,5,10,0.0,0.0,0.23534343560459092,0.4155455633997917,1.7473886684456374,0.0,0.0
1,1,13,0,8,1,S,1,4,10,0.7692307692307693,0.15384615384615385,0.0002472215612495067,0.40164725138590884,1.7936690800035229,0.0,0.0
2,0,80,26,5,3,S,8,7,13,0.0,0.0125,0.003403715161311993,0.4302179660648108,1.7437971248000395,0.0,0.0
3,1,29,0,7,5,W,7,1,16,0.5517241379310345,0.20689655172413793,0.037747096416939616,0.3987828986398105,1.7446997607576435,0.0,0.0
4,1,13,0,5,3,W,1,6,7,0.5384615384615384,0.0,0.0007808143939025915,0.404711141036107,1.7220982207128634,0.0,0.0
5,1,13,0,4,8,E,5,2,9,0.6923076923076923,0.07692307692307693,0.0003207925713538246,0.4033766503517444,1.7468382317859392,0.0,0.0
6,1,11,0,2,1,W,8,4,9,0.8181818181818182,0.0,0.0014212914244457022,0.39326625249602576,1.8041217329234562,0.0,0.0
7,1,7,0,6,1,W,4,3,4,0.5714285714285714,0.14285714285714285,0.0021684489952999036,0.40922597476414274,1.860775419377855,0.0,0.0
8,1,6,0,5,5,E,4,7,3,0.5,0.0,0.010861061093843697,0.3841485877831777,1.7445368284825236,0.0,0.0
9,1,9,0,3,1,S,1,5,6,0.6666666666666666,0.1111111111111111,0.013400980898344036,0.4040541483296288,1.7447848998320599,0.0,0.0
10,1,12,0,8,2,W,1,3,10,0.8333333333333334,0.0,0.0002386799231620292,0.4016796375314395,1.7390952464969207,0.0,0.0
11,1,11,0,7,8,S,3,4,8,0.7272727272727273,0.09090909090909091,0.0010171039479742335,0.39952203360470856,1.7379125506109134,0.0,0.0
12,0,80,0,1,8,S,7,5,13,0.0,0.0125,0.2179675955518178,0.41625578291714194,1.743870406789938,0.0,0.0
13,1,7,0,3,7,W,1,4,5,0.7142857142857143,0.0,0.0014545439761215156,0.3791995814868382,1.7378755562406565,0.0,0.0
14,1,22,0,4,8,S,8,3,15,0.6818181818181818,0.09090909090909091,0.008465978867455058,0.393031506375833,1.7435980976601555,0.0,0.0
15,1,14,0,2,1,E,3,8,10,0.7142857142857143,0.0,0.0018962483892599785,0.4024623440844672,1.7838855066137123,0.0,0.0
16,1,13,0,5,2,S,1,2,6,0.46153846153846156,0.07692307692307693,0.004252177694490036,0.4087431476666377,1.7501099276929521,0.0,0.0
17,1,18,0,1,7,S,7,2,13,0.7222222222222222,0.05555555555555555,0.004815686269466823,0.4010897113217248,1.7549392747847985,0.0,0.0
18,1,6,0,8,4,E,7,2,3,0.5,0.0,0.0004545219344436191,0.41427044073740643,1.7495188318813841,0.0,0.0
19,1,15,0,8,7,E,4,3,12,0.8,0.06666666666666667,0.010494284387823427,0.4060522377490997,1.7420691321603954,0.0,0.0
20,1,19,0,8,3,N,3,8,14,0.7368421052631579,0.05263157894736842,0.000811060780554391,0.4037369646524128,1.7593076887638552,0.0,0.0
21,0,80,25,5,1,N,7,6,15,0.0,0.0125,0.0034473767911549656,0.4291478846222162,1.7398370764567517,0.0,0.0
22,1,12,0,4,8,S,1,6,7,0.5833333333333334,0.16666666666666666,0.014589711666909958,0.38269082953532535,1.7496643219298373,0.0,0.0
23,1,12,0,5,1,N,3,6,7,0.5833333333333334,0.08333333333333333,0.002057178470749932,0.4054437652230263,1.7652621657665197,0.0,0.0
24,1,15,0,8,6,N,4,7,7,0.4666666666666667,0.06666666666666667,0.013922433223827586,0.3973416248957316,1.8158073459441464,0.0,0.0
25,1,20,0,7,8,S,6,1,14,0.7,0.05,0.0011253240942551202,0.40123079270124434,1.8761300132609904,0.0,0.0
26,1,5,0,1,5,W,3,6,3,0.6,0.0,0.004077775392215699,0.39725701212882997,1.7823581933043897,0.0,0.0
27,1,11,0,7,8,W,4,7,4,0.36363636363636365,0.0,0.03470060738502732,0.39319073341109534,1.75188080704009,0.0,0.0
28,1,19,0,7,8,W,4,1,14,0.7368421052631579,0.0,0.010750492811463406,0.39755031937047053,1.7958050501826954,0.0,0.0
29,1,11,0,3,4,S,3,1,7,0.6363636363636364,0.09090909090909091,0.0009158223710983293,0.40685569969090546,1.7784711777825246,0.0,0.0
