epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_logvar_coupling,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_logvar_coupling,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
11,2026-06-22 10:58:36,34.31,1.0,6,5,1.0,0.999647,0.006014,0.999051,0.006038,0.998068,0.99921,0.005804,1.0,0.01905,0.769452,26.259037,3.399559,-0.865357,0.008643,0.168534,0.13498,0.406851,0.181544,0.232482,1.152881,0.934947,0.996498,0.87906,0.939902,5.0,6.0,0.999878,0.003595,0.999756,0.003405,0.999329,0.999695,0.003608,1.0,0.009097,0.325441,25.47097,1.738067,0.111088,0.003952,0.027003,0.072376,0.283629,0.036107,0.132941,0.756045,0.960391,0.998828,0.922109,0.959922,5.0,6.0
12,2026-06-22 10:59:11,34.39,1.0,6,5,1.0,0.999335,0.006512,0.999487,0.004939,0.998289,0.999307,0.005687,1.0,0.019565,0.730758,25.839959,3.200731,-0.865094,0.008089,0.168014,0.115332,0.324206,0.177939,0.193496,1.025878,0.947216,0.998156,0.905718,0.955248,5.0,6.0,0.999939,0.003325,0.999573,0.003722,0.999084,0.999573,0.0033,1.0,0.009519,0.359517,24.698191,1.570331,0.284179,0.004509,0.02447,0.099374,0.248006,0.041493,0.159793,0.750995,0.953281,1.0,0.920938,0.965313,5.0,6.0
13,2026-06-22 10:59:45,34.38,1.0,6,5,1.0,0.999647,0.005591,0.999335,0.004913,0.998382,0.999345,0.005634,1.0,0.019862,0.721725,24.809805,2.930036,-0.837853,0.007076,0.168053,0.099406,0.284078,0.176567,0.169947,0.948154,0.958227,0.998112,0.922092,0.96047,5.0,6.0,0.998962,0.007422,0.997632,0.006508,0.995435,0.998596,0.007982,1.0,0.010101,0.353837,24.973403,1.661223,0.251294,0.014361,0.025069,0.087742,0.275536,0.036891,0.17196,0.799026,0.945938,0.998047,0.918281,0.968984,5.0,6.0
14,2026-06-22 11:00:19,34.46,1.0,6,5,1.0,0.999107,0.006919,0.99867,0.005916,0.996897,0.998933,0.006824,1.0,0.018635,0.725496,24.318763,2.824136,-0.864839,0.012282,0.167697,0.088024,0.246967,0.174852,0.149015,0.895893,0.964566,0.998227,0.933821,0.966197,5.0,6.0,0.998596,0.007339,0.998474,0.00498,0.996643,0.999329,0.006113,1.0,0.008328,0.319277,23.150256,1.4388,0.074284,0.01226,0.025947,0.049899,0.175246,0.03294,0.094565,0.599861,0.979219,1.0,0.956719,0.976328,5.0,6.0
15,2026-06-22 11:00:54,34.49,1.0,6,5,1.0,0.999366,0.006299,0.998802,0.006113,0.997461,0.999169,0.006066,1.0,0.018404,0.721063,22.785663,2.618513,-0.863606,0.00964,0.167767,0.075162,0.204361,0.173366,0.129688,0.811307,0.970337,0.999202,0.945337,0.973138,5.0,6.0,0.99978,0.002989,0.999353,0.004077,0.998889,0.999695,0.003171,1.0,0.007546,0.296453,21.288041,1.020645,-0.014986,0.004488,0.028663,0.065551,0.17316,0.036608,0.120002,0.572001,0.976563,1.0,0.954141,0.974844,5.0,6.0
16,2026-06-22 11:01:28,34.39,1.0,6,5,1.0,0.999017,0.006125,0.998999,0.00532,0.997378,0.99912,0.005827,1.0,0.018885,0.722865,21.670157,2.416051,-0.854481,0.01155,0.167638,0.077429,0.18217,0.172367,0.122134,0.775303,0.976064,0.99898,0.953165,0.975594,5.0,6.0,0.99917,0.004302,0.99834,0.004844,0.997144,0.99939,0.003965,1.0,0.008473,0.29348,23.363131,1.098348,0.1982,0.012311,0.025476,0.036323,0.139918,0.031149,0.069237,0.543031,0.989453,0.998047,0.971094,0.978516,5.0,6.0
17,2026-06-22 11:02:03,34.9,1.0,6,5,1.0,0.999197,0.006134,0.998902,0.005392,0.997242,0.999026,0.006122,1.0,0.018675,0.69946,21.989674,2.308417,-0.854585,0.010399,0.167176,0.072411,0.176211,0.170891,0.117631,0.759948,0.977438,0.997917,0.958644,0.979654,5.0,6.0,0.998108,0.007693,0.998352,0.005531,0.995044,0.998157,0.005238,1.0,0.006582,0.265489,20.849511,1.280344,0.240531,0.015779,0.02491,0.032049,0.114086,0.029193,0.085689,0.506216,0.988359,0.998438,0.979297,0.986328,5.0,6.0
18,2026-06-22 11:02:38,34.79,1.0,6,5,1.0,0.999404,0.005806,0.999065,0.00492,0.997645,0.999017,0.00563,1.0,0.017684,0.705784,19.569483,2.086521,-0.862469,0.009941,0.167618,0.060121,0.135296,0.170254,0.09457,0.671644,0.98422,0.999158,0.969326,0.984796,5.0,6.0,0.998169,0.007548,0.996118,0.009188,0.988574,0.992883,0.01155,1.0,0.007368,0.249962,17.729518,1.07101,-0.351929,0.048966,0.0288,0.040975,0.085381,0.031114,0.060921,0.472543,0.991797,1.0,0.98375,0.991172,5.0,6.0
19,2026-06-22 11:03:13,34.64,1.0,6,5,1.0,0.998543,0.006397,0.998338,0.005384,0.995745,0.998483,0.005485,1.0,0.017062,0.698856,19.082908,1.975933,-0.863004,0.015813,0.166972,0.051838,0.129633,0.169773,0.083886,0.659695,0.986897,0.998271,0.972358,0.984707,5.0,6.0,0.999939,0.002602,0.99978,0.002099,0.999158,0.999438,0.001871,1.0,0.005987,0.276931,18.876693,0.601465,0.095034,0.003276,0.018108,0.0249,0.069781,0.021851,0.045461,0.36653,0.994141,1.0,0.986875,0.991953,5.0,6.0
20,2026-06-22 11:03:48,34.62,1.0,6,5,1.0,0.999238,0.004212,0.999183,0.004123,0.997846,0.9993,0.004237,1.0,0.016699,0.71148,17.152198,1.801393,-0.882039,0.008735,0.167155,0.047771,0.103388,0.168766,0.081529,0.593074,0.989096,0.999645,0.978067,0.987686,5.0,6.0,0.999695,0.002142,0.999207,0.00309,0.99823,0.999329,0.002554,1.0,0.005866,0.231683,16.353318,0.647732,0.181306,0.006543,0.023666,0.03378,0.05354,0.025892,0.044222,0.340888,0.995625,1.0,0.992891,0.995469,5.0,6.0
21,2026-06-22 11:04:22,34.43,1.0,6,5,1.0,0.998864,0.004212,0.99912,0.003957,0.997174,0.998885,0.0042,1.0,0.016671,0.697412,16.541775,1.679399,-0.886586,0.012842,0.166415,0.050889,0.103583,0.168477,0.068713,0.585933,0.989273,0.998848,0.978413,0.987988,5.0,6.0,0.999634,0.003845,0.999414,0.00257,0.99856,0.99939,0.002978,1.0,0.005177,0.2333,16.223412,0.552541,-0.124934,0.004775,0.025375,0.018414,0.034961,0.025786,0.02289,0.282665,0.998828,1.0,0.994453,0.995625,5.0,6.0
22,2026-06-22 11:04:57,34.68,1.0,6,5,1.0,0.998206,0.006057,0.998144,0.005719,0.994889,0.998068,0.006343,1.0,0.017212,0.683706,15.558409,1.715087,-0.888798,0.020205,0.166545,0.041243,0.085043,0.167493,0.066718,0.565431,0.993262,0.998936,0.984867,0.991339,5.0,6.0,0.999658,0.002523,0.998987,0.002616,0.99834,0.999573,0.001784,1.0,0.004491,0.210744,13.96036,0.450336,0.162707,0.004924,0.024104,0.02672,0.036505,0.025431,0.036731,0.282013,0.998047,1.0,0.993359,0.995313,5.0,6.0
23,2026-06-22 11:05:32,34.7,1.0,6,5,1.0,0.998174,0.004986,0.998413,0.004646,0.995645,0.998622,0.004521,1.0,0.016551,0.691529,14.513063,1.59957,-0.894843,0.017965,0.16674,0.048627,0.093997,0.168483,0.079327,0.568014,0.990426,0.998848,0.982624,0.991268,5.0,6.0,0.998901,0.00432,0.988257,0.014668,0.986731,0.999268,0.005605,1.0,0.005539,0.210761,12.810557,1.619045,-0.022535,0.057457,0.024666,0.029404,0.132437,0.025851,0.101502,0.520161,0.991484,0.99125,0.98375,0.995859,5.0,6.0
24,2026-06-22 11:06:06,34.75,1.0,6,5,1.0,0.99919,0.003672,0.998885,0.00419,0.997479,0.99919,0.003638,1.0,0.015549,0.684572,12.894014,1.399561,-0.909376,0.009212,0.166372,0.036867,0.058755,0.166723,0.041942,0.467716,0.995922,0.999911,0.988785,0.992154,5.0,6.0,0.999939,0.001006,0.999719,0.002025,0.999414,0.999756,0.001801,1.0,0.0041,0.188457,11.711126,0.322148,-0.166485,0.002608,0.023728,0.016505,0.03141,0.024687,0.017189,0.212986,0.996797,1.0,0.996406,0.999609,5.0,6.0
25,2026-06-22 11:06:41,34.59,1.0,6,5,1.0,0.999668,0.002185,0.999418,0.002636,0.998712,0.99955,0.002514,1.0,0.016682,0.694182,11.981726,1.220138,-0.911895,0.004782,0.166803,0.033994,0.064856,0.167894,0.045372,0.4545,0.993617,0.999379,0.987544,0.993484,5.0,6.0,0.999634,0.001216,0.99856,0.003276,0.998315,0.999451,0.001444,1.0,0.005371,0.178406,11.303682,0.429463,-0.14885,0.008467,0.027705,0.029705,0.058405,0.028838,0.042924,0.273561,0.996484,1.0,0.994141,0.995703,5.0,6.0
26,2026-06-22 11:07:21,39.34,1.0,8,10,1.5,0.999695,0.001961,0.999312,0.002752,0.998744,0.99967,0.001928,1.0,0.014707,0.779516,10.868793,1.102645,-0.919679,0.004887,0.165992,0.037658,0.102269,0.166998,0.092084,0.635849,0.994158,0.999579,0.986095,0.989663,10.0,8.0,0.990967,0.008244,0.976892,0.017013,0.968652,0.991418,0.007234,1.0,0.004365,0.225757,9.821376,2.309787,-0.222826,0.247445,0.027074,0.059997,0.526835,0.031873,0.568363,1.951008,0.984727,0.982031,0.96625,0.977305,10.0,8.0
27,2026-06-22 11:08:00,39.62,1.0,8,10,1.5,0.999695,0.002161,0.999127,0.003132,0.997978,0.999065,0.00276,1.0,0.014174,0.764,9.896382,1.055237,-0.928553,0.008057,0.165742,0.026114,0.048534,0.166156,0.039234,0.499708,0.99672,0.999668,0.992952,0.995479,10.0,8.0,0.999756,0.001882,0.999353,0.00275,0.998828,0.999536,0.001698,1.0,0.002872,0.165169,9.443049,0.246322,-0.236489,0.004186,0.023513,0.008248,0.012965,0.023626,0.010142,0.175998,0.999219,1.0,0.998242,0.998828,10.0,8.0
