epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_logvar_coupling,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_logvar_coupling,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
11,2026-06-22 07:56:04,36.0,1.0,6,5,1.0,0.999661,0.005185,0.999605,0.003104,0.998795,0.999494,0.004711,1.0,0.018187,0.694001,27.09519,3.103927,-0.250309,0.005317,0.056593,0.139806,0.387923,0.073359,0.233226,1.04542,0.942731,0.99672,0.882039,0.935984,5.0,6.0,1.0,0.002428,0.999939,0.001864,0.999817,0.999878,0.002846,1.0,0.009988,0.316788,27.429979,1.58982,-0.428219,0.00208,0.015506,0.082909,0.282135,0.026105,0.141117,0.738474,0.963203,1.0,0.917891,0.949375,5.0,6.0
12,2026-06-22 07:56:40,36.0,1.0,6,5,1.0,0.999702,0.005526,0.999744,0.003426,0.998943,0.99949,0.004919,1.0,0.019208,0.655674,26.195298,2.985868,-0.197088,0.005339,0.05634,0.114383,0.314277,0.06976,0.191217,0.923951,0.953564,0.998493,0.907926,0.949858,5.0,6.0,1.0,0.002503,0.999939,0.001722,0.999817,0.999878,0.002197,1.0,0.008476,0.345798,24.862708,1.282952,-0.283826,0.001621,0.015152,0.073461,0.255144,0.02549,0.158339,0.691823,0.970156,1.0,0.926875,0.955156,5.0,6.0
13,2026-06-22 07:57:16,35.97,1.0,6,5,1.0,0.999418,0.005565,0.999467,0.003602,0.998241,0.999252,0.005324,1.0,0.018257,0.639336,25.076468,2.857592,-0.17529,0.007269,0.056208,0.105919,0.266979,0.066478,0.153501,0.841132,0.964557,0.999379,0.925674,0.957119,5.0,6.0,0.999512,0.002859,1.0,0.002269,0.999231,0.999719,0.002923,1.0,0.008077,0.313969,24.609435,1.202991,-0.296386,0.003434,0.015694,0.079153,0.229784,0.026782,0.151157,0.662201,0.968984,1.0,0.938828,0.965547,5.0,6.0
14,2026-06-22 07:57:52,35.95,1.0,6,5,1.0,0.999197,0.005991,0.999374,0.003519,0.99767,0.999003,0.005346,1.0,0.018201,0.630919,24.286773,2.764363,-0.162569,0.008562,0.056119,0.087585,0.233762,0.065415,0.147407,0.787728,0.968413,0.999025,0.937447,0.966418,5.0,6.0,0.999512,0.004285,0.999512,0.003387,0.99856,0.999353,0.003222,1.0,0.007004,0.318778,23.85708,1.263355,-0.126581,0.00547,0.014251,0.05136,0.18238,0.025259,0.103862,0.582173,0.972344,1.0,0.947344,0.974219,5.0,6.0
15,2026-06-22 07:58:28,36.09,1.0,6,5,1.0,0.999314,0.005502,0.999463,0.003461,0.997946,0.999058,0.005438,1.0,0.017988,0.618224,22.801242,2.600264,-0.123619,0.007846,0.056108,0.078335,0.199131,0.062365,0.122279,0.715422,0.975009,0.998848,0.950594,0.974078,5.0,6.0,0.998901,0.003843,0.999719,0.002471,0.997766,0.999023,0.005136,1.0,0.007131,0.293757,24.215968,1.096832,-0.154504,0.011185,0.014503,0.057802,0.205341,0.022645,0.12366,0.624902,0.976172,1.0,0.947266,0.969141,5.0,6.0
16,2026-06-22 07:59:04,36.0,1.0,6,5,1.0,0.99949,0.005464,0.999134,0.004421,0.997955,0.999303,0.005237,1.0,0.019582,0.631759,22.093754,2.430063,-0.125424,0.007867,0.056113,0.069632,0.175086,0.061986,0.121182,0.677594,0.979202,0.999158,0.956835,0.976046,5.0,6.0,0.999512,0.003223,0.999756,0.001774,0.998901,0.999634,0.003553,1.0,0.01097,0.292862,20.460471,0.824369,-0.114722,0.004019,0.014274,0.045686,0.093796,0.016723,0.064525,0.420372,0.994688,1.0,0.98,0.984922,5.0,6.0
17,2026-06-22 07:59:40,36.09,1.0,6,5,1.0,0.998895,0.006181,0.999044,0.00416,0.996713,0.998608,0.005451,1.0,0.018394,0.601572,20.895602,2.2607,-0.11478,0.012233,0.055542,0.06287,0.145953,0.060233,0.101046,0.62437,0.985284,0.99898,0.968129,0.981516,5.0,6.0,0.998132,0.005166,0.999146,0.004511,0.996362,0.998718,0.004942,1.0,0.006859,0.267527,20.327653,0.837329,-0.221368,0.018191,0.013697,0.036185,0.099819,0.017052,0.075184,0.445026,0.995313,0.998438,0.9825,0.985625,5.0,6.0
18,2026-06-22 08:00:16,35.98,1.0,6,5,1.0,0.999259,0.004745,0.999197,0.003578,0.997804,0.999231,0.004391,1.0,0.018769,0.600909,19.594607,2.061858,-0.104961,0.008143,0.054996,0.062232,0.135283,0.058901,0.093996,0.584288,0.985062,0.999424,0.97008,0.983466,5.0,6.0,0.998193,0.005816,0.999878,0.00233,0.99801,0.999939,0.002723,1.0,0.007026,0.258709,19.306649,0.69936,-0.080877,0.006807,0.012043,0.026623,0.075762,0.015196,0.04503,0.369812,0.994297,1.0,0.981875,0.987578,5.0,6.0
19,2026-06-22 08:00:52,36.03,1.0,6,5,1.0,0.999224,0.004396,0.999695,0.002941,0.998234,0.999252,0.004457,1.0,0.017192,0.590382,18.991949,1.842254,-0.105247,0.007268,0.055147,0.054976,0.115286,0.058168,0.083267,0.5413,0.986445,0.999468,0.973014,0.985949,5.0,6.0,0.998987,0.003788,0.999939,0.001644,0.998743,0.999817,0.001973,1.0,0.006054,0.239682,18.060434,0.590847,-0.073644,0.004467,0.01198,0.038483,0.072542,0.014497,0.045345,0.351152,0.994688,1.0,0.986953,0.991875,5.0,6.0
20,2026-06-22 08:01:28,36.06,1.0,6,5,1.0,0.999167,0.004283,0.999307,0.003115,0.998059,0.999487,0.00346,1.0,0.016706,0.586859,17.267925,1.76921,-0.115153,0.007748,0.055543,0.057799,0.115061,0.058815,0.083256,0.524268,0.988661,0.999025,0.976534,0.986809,5.0,6.0,0.999634,0.002128,0.999353,0.001741,0.998865,0.999878,0.002179,1.0,0.004579,0.213666,16.977849,0.475418,-0.121371,0.004037,0.012084,0.025448,0.055175,0.013633,0.031845,0.300712,0.995078,1.0,0.991953,0.996094,5.0,6.0
