epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
11,2026-06-19 17:42:41,34.24,1.0,6,5,1.0,0.999501,0.005207,0.999571,0.003545,0.998753,0.999626,0.004388,1.0,0.017605,0.661374,26.282447,2.790188,0.005501,0.056443,0.132825,0.357263,0.072024,0.221841,0.999878,0.944805,0.997163,0.898493,0.950009,5.0,6.0,1.0,0.003068,0.999841,0.002066,0.999841,1.0,0.002266,1.0,0.009085,0.322188,27.797649,1.187102,0.001984,0.01613,0.062042,0.222054,0.022925,0.107203,0.666834,0.965859,0.999219,0.938906,0.971875,5.0,6.0
12,2026-06-19 17:43:16,34.34,1.0,6,5,1.0,0.999248,0.005367,0.99964,0.003525,0.998604,0.999647,0.004408,1.0,0.018691,0.637697,25.430765,2.752592,0.006207,0.056144,0.10533,0.283184,0.067428,0.17699,0.87728,0.955904,0.998715,0.921356,0.961596,5.0,6.0,0.999878,0.002571,0.999939,0.001538,0.999573,0.999756,0.002027,1.0,0.008566,0.33517,26.221203,1.110552,0.001927,0.015232,0.09382,0.212478,0.024366,0.145168,0.676134,0.968438,1.0,0.942734,0.973516,5.0,6.0
13,2026-06-19 17:43:50,34.27,1.0,6,5,1.0,0.999612,0.004799,0.999695,0.003067,0.998846,0.999532,0.004353,1.0,0.017638,0.613858,24.455097,2.576427,0.005208,0.055794,0.093141,0.230785,0.064044,0.141174,0.781034,0.968351,0.998715,0.939131,0.9682,5.0,6.0,1.0,0.002078,1.0,0.001343,0.999939,0.999939,0.001951,1.0,0.007554,0.319354,21.814564,0.862549,0.001323,0.014975,0.063507,0.219285,0.025224,0.168404,0.627584,0.963281,1.0,0.935313,0.967344,5.0,6.0
14,2026-06-19 17:44:25,34.3,1.0,6,5,1.0,0.999747,0.004157,0.999641,0.002967,0.999028,0.999612,0.004031,1.0,0.017695,0.597985,23.081378,2.37534,0.00439,0.055703,0.078362,0.203263,0.063165,0.137911,0.723042,0.971259,0.999202,0.946126,0.972606,5.0,6.0,0.999109,0.005953,0.991162,0.009199,0.990027,0.998596,0.005008,1.0,0.007671,0.306287,21.632012,1.751109,0.046389,0.014529,0.055836,0.199046,0.023783,0.156142,0.701241,0.979063,0.992969,0.954219,0.976328,5.0,6.0
15,2026-06-19 17:44:59,34.3,1.0,6,5,1.0,0.999314,0.00527,0.99955,0.003223,0.998082,0.999051,0.004754,1.0,0.01882,0.591997,21.758141,2.286503,0.007688,0.055443,0.076927,0.17074,0.062277,0.106259,0.664726,0.975842,0.999911,0.955913,0.978298,5.0,6.0,0.998853,0.004553,0.998608,0.00414,0.997241,0.999597,0.003085,1.0,0.006929,0.27489,21.307627,0.908667,0.009595,0.014327,0.051637,0.16691,0.022876,0.109729,0.5462,0.983594,1.0,0.96,0.974844,5.0,6.0
16,2026-06-19 17:45:33,34.28,1.0,6,5,1.0,0.99883,0.00569,0.998892,0.004368,0.99705,0.999148,0.004902,1.0,0.017097,0.592947,21.263393,2.232243,0.011475,0.055271,0.06753,0.153458,0.060437,0.116244,0.647852,0.982376,0.998316,0.963972,0.980949,5.0,6.0,0.991077,0.01432,0.981995,0.018651,0.971118,0.995813,0.014984,1.0,0.019005,0.288708,24.335771,3.189509,0.134166,0.014079,0.043682,0.153871,0.016571,0.237967,0.920073,0.985078,0.993359,0.970391,0.988438,5.0,6.0
17,2026-06-19 17:46:07,34.34,1.0,6,5,1.0,0.998227,0.007088,0.998677,0.005504,0.995595,0.998379,0.006328,1.0,0.017909,0.565058,21.417153,2.254448,0.01723,0.055428,0.060789,0.145431,0.0596,0.09024,0.634059,0.982934,0.999379,0.966888,0.98258,5.0,6.0,0.99978,0.002006,0.999756,0.003041,0.997949,0.998413,0.003132,1.0,0.007276,0.238903,19.641517,0.610612,0.007879,0.012227,0.031063,0.078497,0.015207,0.062224,0.389316,0.995703,1.0,0.985859,0.988984,5.0,6.0
18,2026-06-19 17:46:42,34.24,1.0,6,5,1.0,0.999338,0.004926,0.99853,0.005615,0.997023,0.999058,0.004832,1.0,0.017706,0.568402,19.237851,1.99432,0.011103,0.054517,0.055677,0.12034,0.058601,0.078199,0.560459,0.98484,0.999025,0.97172,0.986746,5.0,6.0,0.998865,0.003753,0.996606,0.007199,0.995532,0.999329,0.003325,1.0,0.005634,0.256468,19.191053,0.799734,0.018903,0.013035,0.029164,0.063137,0.014959,0.041514,0.38552,0.994531,1.0,0.988281,0.99375,5.0,6.0
19,2026-06-19 17:47:16,34.36,1.0,6,5,1.0,0.999023,0.004464,0.999307,0.00395,0.997666,0.99912,0.004259,1.0,0.016359,0.558414,18.022807,1.737325,0.009356,0.054504,0.055431,0.112849,0.057738,0.073003,0.527622,0.98969,0.999468,0.975638,0.985683,5.0,6.0,0.999097,0.001734,1.0,0.001196,0.999036,0.999939,0.001562,1.0,0.005436,0.241672,16.203476,0.40317,0.004196,0.019675,0.021511,0.056842,0.022233,0.034049,0.309865,0.994922,1.0,0.987891,0.992969,5.0,6.0
20,2026-06-19 17:47:51,34.27,1.0,6,5,1.0,0.999397,0.003659,0.999571,0.003097,0.998102,0.999086,0.004005,1.0,0.01552,0.542206,17.00837,1.642999,0.006881,0.054597,0.056443,0.105869,0.05793,0.093407,0.512641,0.98891,0.999291,0.976897,0.987057,5.0,6.0,0.999719,0.001947,0.998865,0.002657,0.998401,0.999817,0.001807,1.0,0.004555,0.222434,18.087234,0.450714,0.005212,0.010908,0.030739,0.04041,0.012354,0.029922,0.306292,0.997656,1.0,0.994922,0.996094,5.0,6.0
21,2026-06-19 17:48:25,34.29,1.0,6,5,1.0,0.999382,0.003432,0.999364,0.003127,0.998098,0.999278,0.003794,1.0,0.016886,0.533425,16.372403,1.599938,0.007055,0.053893,0.048284,0.089679,0.056295,0.060621,0.467466,0.989761,0.999025,0.98156,0.991755,5.0,6.0,0.999658,0.001966,0.999841,0.002138,0.999255,0.999658,0.002232,1.0,0.004809,0.208475,14.117678,0.427408,0.00274,0.010773,0.032222,0.031842,0.011539,0.020698,0.246953,0.999609,1.0,0.996094,0.996484,5.0,6.0
22,2026-06-19 17:48:59,34.34,1.0,6,5,1.0,0.999248,0.003589,0.999086,0.003176,0.997484,0.998999,0.003862,1.0,0.017217,0.52926,14.970286,1.533476,0.009823,0.0541,0.042722,0.073571,0.055893,0.053989,0.435031,0.993768,0.99969,0.986046,0.991835,5.0,6.0,0.99978,0.001901,0.99978,0.002266,0.99895,0.99939,0.002343,1.0,0.005957,0.208992,12.519374,0.380295,0.004619,0.01185,0.025107,0.036076,0.012998,0.03745,0.244502,0.997656,1.0,0.996094,0.997656,5.0,6.0
