epoch,timestamp,elapsed_s,kl_weight,curriculum_start_t_min,curriculum_horizon,curriculum_w_roll_pose,train_filter_col_acc,train_filter_col_entropy,train_filter_heading_acc,train_filter_heading_entropy,train_filter_joint_acc,train_filter_row_acc,train_filter_row_entropy,train_kl_weight,train_loss_collision,train_loss_context_stability,train_loss_kl_context,train_loss_kl_vfe,train_loss_logvar_coupling,train_loss_pose,train_loss_recon,train_loss_roll_collision,train_loss_roll_pose,train_loss_roll_recon,train_loss_roll_stay,train_loss_total,train_roll_col_acc,train_roll_heading_acc,train_roll_joint_acc,train_roll_row_acc,train_rollout_horizon,train_rollout_start_t_min,val_filter_col_acc,val_filter_col_entropy,val_filter_heading_acc,val_filter_heading_entropy,val_filter_joint_acc,val_filter_row_acc,val_filter_row_entropy,val_kl_weight,val_loss_collision,val_loss_context_stability,val_loss_kl_context,val_loss_kl_vfe,val_loss_logvar_coupling,val_loss_pose,val_loss_recon,val_loss_roll_collision,val_loss_roll_pose,val_loss_roll_recon,val_loss_roll_stay,val_loss_total,val_roll_col_acc,val_roll_heading_acc,val_roll_joint_acc,val_roll_row_acc,val_rollout_horizon,val_rollout_start_t_min
11,2026-06-22 14:22:32,33.18,1.0,6,5,1.0,0.990311,0.03867,0.995977,0.018562,0.984177,0.990009,0.039327,1.0,0.026309,0.592631,23.320284,4.661832,-0.91967,0.072538,0.18184,0.144746,0.311125,0.19302,0.214551,1.17089,0.959894,0.998404,0.920496,0.956259,5.0,6.0,0.981897,0.043175,0.992969,0.021936,0.971643,0.979712,0.052211,1.0,0.01987,0.408339,22.938713,4.617819,0.0,0.159592,0.0,0.195027,0.25511,0.042625,0.172723,1.148019,0.967734,0.999609,0.936328,0.963125,5.0,6.0
12,2026-06-22 14:23:06,33.97,1.0,6,5,1.0,0.990597,0.037989,0.9959,0.017994,0.984339,0.989762,0.038852,1.0,0.023545,0.541693,22.664078,4.290541,-0.920147,0.071592,0.1833,0.116121,0.242635,0.190971,0.145351,1.031366,0.972668,0.999113,0.944025,0.968165,5.0,6.0,0.981519,0.041942,0.989185,0.024092,0.973242,0.981262,0.048659,1.0,0.022194,0.331748,22.557866,4.2672,0.0,0.170129,0.0,0.099474,0.23971,0.036394,0.112532,1.054922,0.979219,0.998047,0.947109,0.963984,5.0,6.0
13,2026-06-22 14:23:38,31.55,1.0,6,5,1.0,0.990475,0.037592,0.995796,0.017478,0.984,0.989374,0.039224,1.0,0.024245,0.526083,22.193177,4.033819,-0.912755,0.073098,0.18081,0.101786,0.207474,0.186996,0.14663,0.978634,0.974663,0.998715,0.954051,0.976995,5.0,6.0,0.9854,0.037242,0.993188,0.01761,0.977051,0.984058,0.041241,1.0,0.015172,0.293398,21.362017,3.562829,0.0,0.112035,0.0,0.07825,0.178557,0.030057,0.113963,0.83253,0.988828,0.998828,0.964453,0.973047,5.0,6.0
14,2026-06-22 14:24:09,31.59,1.0,6,5,1.0,0.989076,0.039904,0.995114,0.019089,0.98157,0.98846,0.039842,1.0,0.0241,0.52603,20.688601,4.000987,-0.922792,0.083681,0.185992,0.09196,0.187165,0.191024,0.123708,0.951469,0.980718,0.998892,0.958112,0.975266,5.0,6.0,0.991199,0.032807,0.998364,0.01363,0.987073,0.991443,0.034922,1.0,0.017711,0.249836,22.049473,2.811236,0.0,0.050957,0.0,0.060971,0.117673,0.026495,0.064906,0.602789,0.983516,0.999219,0.97375,0.989063,5.0,6.0
15,2026-06-22 14:24:41,31.45,1.0,6,5,1.0,0.991305,0.033478,0.996918,0.015855,0.985932,0.990536,0.035018,1.0,0.023606,0.517363,19.900417,3.472324,-0.913957,0.062984,0.179268,0.084757,0.135484,0.183737,0.094261,0.814035,0.984442,0.999512,0.968706,0.983289,5.0,6.0,0.987854,0.031422,0.996362,0.013215,0.982874,0.990271,0.032681,1.0,0.014574,0.239417,18.58727,2.673704,0.0,0.0662,0.0,0.061534,0.073742,0.024565,0.065918,0.549812,0.993359,1.0,0.986484,0.992344,5.0,6.0
16,2026-06-22 14:25:13,31.55,1.0,6,5,1.0,0.989939,0.035146,0.995954,0.017174,0.983685,0.989259,0.035227,1.0,0.021866,0.515587,19.065747,3.366604,-0.923516,0.074231,0.183844,0.072275,0.125136,0.186041,0.079787,0.804504,0.988626,0.999113,0.976011,0.986144,5.0,6.0,0.990576,0.030402,0.998865,0.012689,0.988013,0.991992,0.031653,1.0,0.026358,0.251229,19.002925,2.490764,0.0,0.050948,0.0,0.05431,0.099539,0.048166,0.080065,0.565581,0.99375,1.0,0.977109,0.983359,5.0,6.0
17,2026-06-22 14:25:44,31.57,1.0,6,5,1.0,0.990252,0.03321,0.995663,0.016128,0.983673,0.989283,0.033929,1.0,0.021902,0.507992,18.621003,3.292513,-0.925747,0.073354,0.181507,0.06773,0.115995,0.184581,0.089784,0.787646,0.988209,0.999557,0.976418,0.98719,5.0,6.0,0.984534,0.037726,0.990942,0.026494,0.971509,0.979834,0.046934,1.0,0.014777,0.300484,19.811,3.651301,0.0,0.152113,0.0,0.040852,0.128558,0.029175,0.113571,0.8302,0.991016,0.996094,0.979297,0.989063,5.0,6.0
18,2026-06-22 14:26:16,31.55,1.0,6,5,1.0,0.989389,0.034312,0.995846,0.015749,0.983239,0.989248,0.033183,1.0,0.022639,0.504334,17.791407,3.180811,-0.924064,0.075564,0.17976,0.062297,0.104905,0.181748,0.078406,0.759691,0.990266,0.999468,0.980762,0.989211,5.0,6.0,0.988806,0.031182,0.996545,0.012987,0.984802,0.990857,0.030933,1.0,0.012945,0.211401,17.610613,2.547976,0.0,0.065217,0.0,0.051015,0.075754,0.022153,0.043164,0.516443,0.995313,0.998047,0.991406,0.995313,5.0,6.0
19,2026-06-22 14:26:47,31.56,1.0,6,5,1.0,0.990892,0.030737,0.996074,0.014605,0.984986,0.98987,0.031058,1.0,0.022008,0.497796,17.155141,2.927335,-0.921648,0.066426,0.179582,0.06195,0.100563,0.182304,0.059775,0.715619,0.989849,0.999113,0.981915,0.991179,5.0,6.0,0.973914,0.043286,0.988525,0.017201,0.966541,0.985559,0.034768,1.0,0.011169,0.235815,17.889515,3.14967,0.0,0.16922,0.0,0.041668,0.124558,0.023987,0.105647,0.81747,0.991016,1.0,0.987109,0.992578,5.0,6.0
20,2026-06-22 14:27:19,31.61,1.0,6,5,1.0,0.989299,0.033132,0.994619,0.017496,0.982026,0.988618,0.033545,1.0,0.023149,0.509671,16.444223,3.175965,-0.927125,0.083257,0.18636,0.05566,0.107526,0.188323,0.069665,0.763561,0.991312,0.99836,0.983599,0.991046,5.0,6.0,0.985999,0.035316,0.995874,0.017347,0.980957,0.988904,0.036411,1.0,0.014012,0.215057,16.862309,2.825607,0.0,0.084095,0.0,0.045446,0.069479,0.032036,0.062404,0.558457,0.994141,1.0,0.990625,0.994531,5.0,6.0
